,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
120,2021-08-10,7M8,,FRU,1.0,LED,2021-08-10 13:10:00,0.0,0,0,
121,2021-08-10,MD83,McDonnell Douglas MD-83,FRU,1.0,OSS,2021-08-10 13:00:00,0.0,0,0,
122,2021-08-10,RJ85,Avro RJ85,FRU,1.0,OSS,2021-08-10 12:05:00,0.0,0,0,
123,2021-08-10,737,,FRU,1.0,DME,2021-08-10 11:55:00,0.0,0,0,
124,2021-08-10,A320,Airbus A320-216,FRU,1.0,ISB,2021-08-10 11:15:00,0.0,0,0,
125,2021-08-10,A321,Airbus A321-211,FRU,1.0,DME,2021-08-10 10:55:00,0.0,0,0,
126,2021-08-10,B738,Boeing 737-8LP,FRU,1.0,KUF,2021-08-10 10:50:00,0.0,0,0,
127,2021-08-10,A21N,Airbus A321-251NX,FRU,1.0,SVO,2021-08-10 09:15:00,0.0,0,0,
128,2021-08-10,A20N,Airbus A320-251N,FRU,1.0,AYT,2021-08-11 21:00:48,0.0,0,0,
129,2021-08-10,A21N,Airbus A321-271NX,FRU,1.0,IST,2021-08-11 21:17:52,0.0,0,0,
130,2021-08-10,A321,Airbus A321-211,FRU,1.0,SVO,2021-08-11 21:07:12,0.0,0,0,
131,2021-08-10,B738,Boeing 737-8KN,FRU,1.0,DXB,2021-08-11 22:32:32,0.0,0,0,
132,2021-08-10,A21N,Airbus A321-271NX,FRU,1.0,IST,2021-08-11 23:23:44,0.0,0,0,
133,2021-08-10,33X,,FRU,0.0,0,0,1.0,CAN,2021-08-11 11:45:00,
134,2021-08-10,B738,Boeing 737-8KN,FRU,0.0,0,0,1.0,DXB,2021-08-10 23:50:00,
135,2021-08-10,32S,,FRU,0.0,0,0,1.0,KUF,2021-08-10 23:40:00,
136,2021-08-10,B738,Boeing 737-82R,FRU,0.0,0,0,1.0,SAW,2021-08-10 23:30:00,
137,2021-08-10,A20N,Airbus A320-251N,FRU,0.0,0,0,1.0,AYT,2021-08-10 22:20:00,
138,2021-08-10,A321,Airbus A321-231,FRU,0.0,0,0,1.0,DME,2021-08-10 21:55:00,
139,2021-08-10,A21N,Airbus A321-271NX,FRU,0.0,0,0,1.0,IST,2021-08-10 21:05:00,
140,2021-08-10,A20N,Airbus A320-271N,FRU,0.0,0,0,1.0,KJA,2021-08-10 20:30:00,
